	symbol	symbol.1	padj	baseMean	log2FoldChange	lfcSE	stat	pvalue	description
ENSG00000001084	GCLC	GCLC	0.293801921000385	930.700540287826	-0.259852086113455	0.117495021691601	-2.21160081825008	0.0269942588407561	glutamate-cysteine ligase catalytic subunit
ENSG00000002834	LASP1	LASP1	0.145609028145681	4487.75119361564	0.158064366544163	0.0544232690119368	2.90435266778066	0.00368013364643125	LIM and SH3 protein 1
ENSG00000004059	ARF5	ARF5	0.286914995966547	631.627960610204	0.114848898590044	0.0511335036901385	2.24605963412973	0.024700188435902	ADP ribosylation factor 5
ENSG00000004139	SARM1	SARM1	0.289858126547796	787.181178891071	0.125264997314389	0.0561228845110504	2.23197717661366	0.0256164714209885	sterile alpha and TIR motif containing 1
ENSG00000004660	CAMKK1	CAMKK1	0.174257693204529	67.316300057692	0.463832343731467	0.169162522459356	2.7419332425887	0.00610787536695124	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004766	VPS50	VPS50	0.220825626736449	2850.14403839279	-0.126764782862079	0.0502319757656228	-2.52358743469598	0.0116164169019715	VPS50 subunit of EARP/GARPII complex
ENSG00000004777	ARHGAP33	ARHGAP33	0.105668875666265	317.260004587887	0.33161206380621	0.105906948058338	3.13116438426254	0.0017411467072955	Rho GTPase activating protein 33
ENSG00000004864	SLC25A13	SLC25A13	0.323521402534224	5582.38956323316	-0.167026794120511	0.0794514920943917	-2.10224867674072	0.0355314978296958	solute carrier family 25 member 13
ENSG00000005020	SKAP2	SKAP2	0.326950338795279	7198.13577056417	-0.132432063721513	0.0636419215661681	-2.08089354410558	0.0374436512070639	src kinase associated phosphoprotein 2
ENSG00000005175	RPAP3	RPAP3	0.233331034422334	1558.22283127696	-0.126184390674307	0.051227649711444	-2.46320866534149	0.0137699751098833	RNA polymerase II associated protein 3
ENSG00000005194	CIAPIN1	CIAPIN1	0.159942579435747	786.994056089382	-0.157197013063427	0.0559034159083629	-2.81193931549916	0.00492437929202161	cytokine induced apoptosis inhibitor 1
ENSG00000005243	COPZ2	COPZ2	0.26905752321353	43.0864188406529	0.56544764446917	0.243189568215506	2.32513116667936	0.0200649475724132	COPI coat complex subunit zeta 2
ENSG00000005302	MSL3	MSL3	0.295155489477042	2325.31401515585	0.293659027506523	0.132929400333066	2.20913527609946	0.0271652331285244	MSL complex subunit 3
ENSG00000005436	GCFC2	GCFC2	0.10276930831587	1413.75825548109	-0.135821764408283	0.0429072942786244	-3.16547027007357	0.00154832483577183	GC-rich sequence DNA-binding factor 2
ENSG00000005448	WDR54	WDR54	0.220836167886196	320.525379799809	0.438430116284507	0.173814786034136	2.52239827397885	0.0116557657047529	WD repeat domain 54
