ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS GOBP_CELLULAR_AMINO_ACID_METABOLIC_PROCESS 13/44 193/11008 3.18221752297157e-13 5.52432961987865e-10 4.72978014993248e-10 ENSG00000092621/ENSG00000182199/ENSG00000160200/ENSG00000135069/ENSG00000274276/ENSG00000128272/ENSG00000106105/ENSG00000151012/ENSG00000134684/ENSG00000031698/ENSG00000196305/ENSG00000110619/ENSG00000090861 13
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE 7/44 23/11008 2.31042399279836e-12 2.00544802574898e-09 1.71700983043752e-09 ENSG00000149150/ENSG00000105281/ENSG00000139514/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 7
GOBP_AMINO_ACID_IMPORT GOBP_AMINO_ACID_IMPORT 7/44 28/11008 1.09953738458491e-11 6.36265633213133e-09 5.44753258608382e-09 ENSG00000149150/ENSG00000105281/ENSG00000139514/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 7
GOMF_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_L_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY 7/44 34/11008 4.90805002030762e-11 2.13009370881351e-08 1.82372806017746e-08 ENSG00000149150/ENSG00000105281/ENSG00000139514/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 7
GOBP_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT GOBP_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT 7/44 37/11008 9.31023044806187e-11 3.23251201156708e-08 2.7675885037186e-08 ENSG00000149150/ENSG00000105281/ENSG00000139514/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 7
GOBP_L_SERINE_METABOLIC_PROCESS GOBP_L_SERINE_METABOLIC_PROCESS 5/44 10/11008 2.00375177029513e-10 5.79752178872058e-08 4.96367982395917e-08 ENSG00000092621/ENSG00000182199/ENSG00000160200/ENSG00000135069/ENSG00000274276 5
GOMF_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY 7/44 42/11008 2.40393357296142e-10 5.96175526094431e-08 5.10429203762635e-08 ENSG00000149150/ENSG00000105281/ENSG00000139514/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 7
GOMF_NEUTRAL_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_NEUTRAL_AMINO_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY 6/44 26/11008 6.20619161799908e-10 1.3467435811058e-07 1.15304507429141e-07 ENSG00000149150/ENSG00000105281/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 6
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT 7/44 49/11008 7.49777407419663e-10 1.4462373103117e-07 1.23822888804276e-07 ENSG00000149150/ENSG00000105281/ENSG00000139514/ENSG00000151012/ENSG00000103257/ENSG00000168003/ENSG00000196517 7
GOBP_SERINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS GOBP_SERINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS 6/44 28/11008 1.00955229470859e-09 1.75258278361412e-07 1.50051351592477e-07 ENSG00000092621/ENSG00000182199/ENSG00000160200/ENSG00000135069/ENSG00000274276/ENSG00000151012 6
