ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GOCC_DNA_PACKAGING_COMPLEX GOCC_DNA_PACKAGING_COMPLEX 57/324 112/11008 3.26889585345808e-58 1.67334778738519e-54 1.66266365935889e-54 ENSG00000180573/ENSG00000010292/ENSG00000273703/ENSG00000277775/ENSG00000273983/ENSG00000274618/ENSG00000184260/ENSG00000278677/ENSG00000276966/ENSG00000121152/ENSG00000196787/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000288859/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000184270/ENSG00000168298/ENSG00000275379/ENSG00000196747/ENSG00000124635/ENSG00000278588/ENSG00000151503/ENSG00000197153/ENSG00000203811/ENSG00000277075/ENSG00000274997/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000276903/ENSG00000270882/ENSG00000277157/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000275221/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000115163/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000276410 57
GOCC_PROTEIN_DNA_COMPLEX GOCC_PROTEIN_DNA_COMPLEX 57/324 176/11008 1.56272012599178e-44 3.99978216247595e-41 3.97424402568014e-41 ENSG00000147536/ENSG00000180573/ENSG00000273703/ENSG00000277775/ENSG00000273983/ENSG00000274618/ENSG00000184260/ENSG00000278677/ENSG00000276966/ENSG00000196787/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000288859/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000184270/ENSG00000168298/ENSG00000275379/ENSG00000196747/ENSG00000124635/ENSG00000278588/ENSG00000062822/ENSG00000197153/ENSG00000203811/ENSG00000277075/ENSG00000274997/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000276903/ENSG00000270882/ENSG00000277157/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000275221/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000100297/ENSG00000274641/ENSG00000273542/ENSG00000115163/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000276410 57
GOBP_NUCLEOSOME_ASSEMBLY GOBP_NUCLEOSOME_ASSEMBLY 46/324 100/11008 2.66418796394696e-44 4.54599272914815e-41 4.51696710238305e-41 ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000278588/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000276410 46
GOBP_DNA_PACKAGING GOBP_DNA_PACKAGING 56/324 208/11008 8.28796104319919e-39 1.06065181450342e-35 1.05387967791417e-35 ENSG00000183955/ENSG00000130816/ENSG00000010292/ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000121152/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000166851/ENSG00000278588/ENSG00000151503/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000123374/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000006712/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000146670/ENSG00000276180/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000101945/ENSG00000276410 56
GOBP_NUCLEOSOME_ORGANIZATION GOBP_NUCLEOSOME_ORGANIZATION 48/324 141/11008 1.16286076371928e-38 1.1905368498958e-35 1.18293541269296e-35 ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000278588/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000006712/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000276410/ENSG00000075089 48
GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY GOMF_PROTEIN_HETERODIMERIZATION_ACTIVITY 59/324 243/11008 4.11700573065734e-38 3.51249205587249e-35 3.49006520886601e-35 ENSG00000171552/ENSG00000180573/ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000274618/ENSG00000184260/ENSG00000278677/ENSG00000173208/ENSG00000276966/ENSG00000196787/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000288859/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000184270/ENSG00000275379/ENSG00000196747/ENSG00000124635/ENSG00000278588/ENSG00000197153/ENSG00000203811/ENSG00000277075/ENSG00000274997/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000276903/ENSG00000270882/ENSG00000277157/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000275221/ENSG00000275713/ENSG00000197061/ENSG00000175550/ENSG00000274641/ENSG00000273542/ENSG00000115163/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000106290/ENSG00000165487/ENSG00000274290/ENSG00000069956/ENSG00000276410/ENSG00000129473 59
GOBP_PROTEIN_DNA_COMPLEX_ASSEMBLY GOBP_PROTEIN_DNA_COMPLEX_ASSEMBLY 49/324 170/11008 1.62837085475363e-35 1.19080434364055e-32 1.18320119852173e-32 ENSG00000167513/ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000278588/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000115163/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000106290/ENSG00000274290/ENSG00000276410 49
GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY GOBP_CHROMATIN_ASSEMBLY_OR_DISASSEMBLY 51/324 191/11008 3.89069202565501e-35 2.489556559916e-32 2.47366103525856e-32 ENSG00000130816/ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000278588/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000149929/ENSG00000275714/ENSG00000197903/ENSG00000123374/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000006712/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000101945/ENSG00000276410 51
GOBP_DNA_CONFORMATION_CHANGE GOBP_DNA_CONFORMATION_CHANGE 61/324 297/11008 6.7172359293135e-35 3.82061452468398e-32 3.79622035209858e-32 ENSG00000147536/ENSG00000183955/ENSG00000130816/ENSG00000010292/ENSG00000273703/ENSG00000277775/ENSG00000085999/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000121152/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000166851/ENSG00000278588/ENSG00000151503/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000123374/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000006712/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000146670/ENSG00000276180/ENSG00000106028/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000100297/ENSG00000274641/ENSG00000273542/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000274290/ENSG00000214826/ENSG00000101945/ENSG00000276410 61
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION 51/324 212/11008 1.0441076023595e-32 5.34478681647826e-30 5.31066098379062e-30 ENSG00000167513/ENSG00000273703/ENSG00000277775/ENSG00000104472/ENSG00000273983/ENSG00000164104/ENSG00000274618/ENSG00000276966/ENSG00000180596/ENSG00000185130/ENSG00000278705/ENSG00000278828/ENSG00000287080/ENSG00000203814/ENSG00000286522/ENSG00000168298/ENSG00000275379/ENSG00000167670/ENSG00000124635/ENSG00000278588/ENSG00000105011/ENSG00000197153/ENSG00000203811/ENSG00000183598/ENSG00000273802/ENSG00000184678/ENSG00000275714/ENSG00000197903/ENSG00000158373/ENSG00000270882/ENSG00000277157/ENSG00000006712/ENSG00000197238/ENSG00000158406/ENSG00000203852/ENSG00000276180/ENSG00000184357/ENSG00000124575/ENSG00000275713/ENSG00000197061/ENSG00000274641/ENSG00000273542/ENSG00000115163/ENSG00000277224/ENSG00000233822/ENSG00000234289/ENSG00000220323/ENSG00000106290/ENSG00000274290/ENSG00000276410/ENSG00000075089 51
