ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GOBP_PROTEIN_LOCALIZATION_TO_CILIARY_MEMBRANE GOBP_PROTEIN_LOCALIZATION_TO_CILIARY_MEMBRANE 2/27 14/11008 0.000517736130703989 0.35930913038308 0.343218633079785 ENSG00000047579/ENSG00000029725 2
GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE 3/27 70/11008 0.000645658814704547 0.35930913038308 0.343218633079785 ENSG00000047579/ENSG00000164828/ENSG00000186094 3
GOBP_ANTEROGRADE_AXONAL_TRANSPORT GOBP_ANTEROGRADE_AXONAL_TRANSPORT 2/27 35/11008 0.00327944231373241 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000186094 2
GOBP_TRANSPORT_ALONG_MICROTUBULE GOBP_TRANSPORT_ALONG_MICROTUBULE 3/27 132/11008 0.00399420757463942 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000164828/ENSG00000186094 3
GOMF_MOLECULAR_ADAPTOR_ACTIVITY GOMF_MOLECULAR_ADAPTOR_ACTIVITY 4/27 299/11008 0.00571682192951071 0.433547672554863 0.414132642247517 ENSG00000153046/ENSG00000161929/ENSG00000189152/ENSG00000164828 4
GOCC_AXON_CYTOPLASM GOCC_AXON_CYTOPLASM 2/27 47/11008 0.00585124631871676 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000186094 2
GOBP_MICROTUBULE_BASED_TRANSPORT GOBP_MICROTUBULE_BASED_TRANSPORT 3/27 154/11008 0.00613971138878 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000164828/ENSG00000186094 3
GOBP_AXONAL_TRANSPORT GOBP_AXONAL_TRANSPORT 2/27 49/11008 0.00634630752185147 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000186094 2
GOBP_NUCLEAR_ENVELOPE_ORGANIZATION GOBP_NUCLEAR_ENVELOPE_ORGANIZATION 2/27 52/11008 0.00712351915609904 0.433547672554863 0.414132642247517 ENSG00000119408/ENSG00000164828 2
GOBP_PROTEIN_LOCALIZATION_TO_CILIUM GOBP_PROTEIN_LOCALIZATION_TO_CILIUM 2/27 52/11008 0.00712351915609904 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000029725 2
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT 3/27 166/11008 0.00755184711538506 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000164828/ENSG00000186094 3
GOBP_AXO_DENDRITIC_TRANSPORT GOBP_AXO_DENDRITIC_TRANSPORT 2/27 59/11008 0.0090954529790805 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000186094 2
GOCC_NEURON_PROJECTION_CYTOPLASM GOCC_NEURON_PROJECTION_CYTOPLASM 2/27 67/11008 0.0116128158952573 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000186094 2
GOMF_EXOPEPTIDASE_ACTIVITY GOMF_EXOPEPTIDASE_ACTIVITY 2/27 70/11008 0.0126272202631427 0.433547672554863 0.414132642247517 ENSG00000136193/ENSG00000186094 2
HP_ABNORMAL_IRIS_PIGMENTATION HP_ABNORMAL_IRIS_PIGMENTATION 2/27 71/11008 0.0129737181261619 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000106665 2
HP_NEPHROLITHIASIS HP_NEPHROLITHIASIS 2/27 75/11008 0.0144009677493746 0.433547672554863 0.414132642247517 ENSG00000106665/ENSG00000075643 2
GOMF_GTPASE_ACTIVATOR_ACTIVITY GOMF_GTPASE_ACTIVATOR_ACTIVITY 3/27 215/11008 0.0152158219569332 0.433547672554863 0.414132642247517 ENSG00000124126/ENSG00000029725/ENSG00000138698 3
GOBP_MICROTUBULE_BASED_MOVEMENT GOBP_MICROTUBULE_BASED_MOVEMENT 3/27 240/11008 0.0203541945526307 0.433547672554863 0.414132642247517 ENSG00000047579/ENSG00000164828/ENSG00000186094 3
GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY GOMF_PROTEIN_MACROMOLECULE_ADAPTOR_ACTIVITY 3/27 242/11008 0.0208019875225627 0.433547672554863 0.414132642247517 ENSG00000153046/ENSG00000189152/ENSG00000164828 3
