ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GOCC_CONDENSED_CHROMOSOME GOCC_CONDENSED_CHROMOSOME 16/123 216/11008 2.05581369663584e-09 5.25474232133339e-06 4.88840708548307e-06 ENSG00000123485/ENSG00000156970/ENSG00000154839/ENSG00000143228/ENSG00000152253/ENSG00000129810/ENSG00000184402/ENSG00000163535/ENSG00000148700/ENSG00000031691/ENSG00000144554/ENSG00000100206/ENSG00000080986/ENSG00000117697/ENSG00000012048/ENSG00000121621 16
GOBP_CHROMOSOME_SEGREGATION GOBP_CHROMOSOME_SEGREGATION 18/123 290/11008 3.20606608989225e-09 5.25474232133339e-06 4.88840708548307e-06 ENSG00000164611/ENSG00000123485/ENSG00000156970/ENSG00000146918/ENSG00000154839/ENSG00000161800/ENSG00000143228/ENSG00000152253/ENSG00000129810/ENSG00000163535/ENSG00000031691/ENSG00000144554/ENSG00000100206/ENSG00000136492/ENSG00000080986/ENSG00000117697/ENSG00000012048/ENSG00000121621 18
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION GOBP_NUCLEAR_CHROMOSOME_SEGREGATION 15/123 234/11008 4.7760897480232e-08 5.21867406467335e-05 4.85485333334148e-05 ENSG00000164611/ENSG00000156970/ENSG00000146918/ENSG00000161800/ENSG00000143228/ENSG00000152253/ENSG00000129810/ENSG00000163535/ENSG00000031691/ENSG00000144554/ENSG00000100206/ENSG00000136492/ENSG00000080986/ENSG00000117697/ENSG00000121621 15
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION 12/123 144/11008 6.5794564554027e-08 5.39186456520251e-05 5.0159698292899e-05 ENSG00000123485/ENSG00000156970/ENSG00000154839/ENSG00000143228/ENSG00000152253/ENSG00000129810/ENSG00000184402/ENSG00000163535/ENSG00000031691/ENSG00000080986/ENSG00000117697/ENSG00000121621 12
HP_MULTIPLE_CAFE_AU_LAIT_SPOTS HP_MULTIPLE_CAFE_AU_LAIT_SPOTS 8/123 57/11008 2.02006166349103e-07 0.000132435242658472 0.000123202497665969 ENSG00000156970/ENSG00000140525/ENSG00000177917/ENSG00000171862/ENSG00000144554/ENSG00000136492/ENSG00000012048/ENSG00000227268 8
HP_ABNORMAL_UTERUS_MORPHOLOGY HP_ABNORMAL_UTERUS_MORPHOLOGY 10/123 105/11008 2.47472416388684e-07 0.000135202430153685 0.000125776770224214 ENSG00000156970/ENSG00000140525/ENSG00000127947/ENSG00000155974/ENSG00000171862/ENSG00000144554/ENSG00000136492/ENSG00000012048/ENSG00000107779/ENSG00000227268 10
GOBP_MEIOTIC_CELL_CYCLE_PROCESS GOBP_MEIOTIC_CELL_CYCLE_PROCESS 11/123 135/11008 3.00344159815494e-07 0.000140646879410741 0.00013084165879481 ENSG00000164611/ENSG00000156970/ENSG00000143228/ENSG00000129810/ENSG00000163535/ENSG00000144554/ENSG00000100206/ENSG00000136492/ENSG00000080986/ENSG00000111247/ENSG00000121621 11
GOBP_MEIOTIC_CHROMOSOME_SEGREGATION GOBP_MEIOTIC_CHROMOSOME_SEGREGATION 8/123 61/11008 3.46833561303272e-07 0.000142115051744016 0.000132207477249418 ENSG00000164611/ENSG00000156970/ENSG00000143228/ENSG00000129810/ENSG00000163535/ENSG00000144554/ENSG00000100206/ENSG00000136492 8
GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION GOBP_HOMOLOGOUS_CHROMOSOME_SEGREGATION 6/123 37/11008 3.01521296700274e-06 0.000974487123243764 0.000906550591193983 ENSG00000164611/ENSG00000129810/ENSG00000163535/ENSG00000144554/ENSG00000100206/ENSG00000136492 6
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION 12/123 209/11008 3.62438379909624e-06 0.000974487123243764 0.000906550591193983 ENSG00000123485/ENSG00000156970/ENSG00000154839/ENSG00000143228/ENSG00000152253/ENSG00000129810/ENSG00000184402/ENSG00000163535/ENSG00000031691/ENSG00000080986/ENSG00000117697/ENSG00000121621 12
GOBP_MEIOTIC_CELL_CYCLE GOBP_MEIOTIC_CELL_CYCLE 11/123 174/11008 3.73654382438615e-06 0.000974487123243764 0.000906550591193983 ENSG00000164611/ENSG00000156970/ENSG00000143228/ENSG00000129810/ENSG00000163535/ENSG00000144554/ENSG00000100206/ENSG00000136492/ENSG00000080986/ENSG00000111247/ENSG00000121621 11
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS 8/123 83/11008 3.78505122121914e-06 0.000974487123243764 0.000906550591193983 ENSG00000164611/ENSG00000129810/ENSG00000163535/ENSG00000144554/ENSG00000100206/ENSG00000136492/ENSG00000080986/ENSG00000111247 8
GOCC_CHROMOSOMAL_REGION GOCC_CHROMOSOMAL_REGION 15/123 330/11008 3.86465302079589e-06 0.000974487123243764 0.000906550591193983 ENSG00000123485/ENSG00000156970/ENSG00000154839/ENSG00000143228/ENSG00000152253/ENSG00000129810/ENSG00000184402/ENSG00000163535/ENSG00000170312/ENSG00000031691/ENSG00000100206/ENSG00000080986/ENSG00000117697/ENSG00000111247/ENSG00000121621 15
