ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
HP_CEREBRAL_CALCIFICATION HP_CEREBRAL_CALCIFICATION 3/19 98/11008 0.000597827015474407 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000155016/ENSG00000012061 3
GOCC_LEADING_EDGE_MEMBRANE GOCC_LEADING_EDGE_MEMBRANE 3/19 114/11008 0.000928812643671812 0.224724524138418 0.18751346979298 ENSG00000006740/ENSG00000146192/ENSG00000113645 3
HP_BASAL_GANGLIA_CALCIFICATION HP_BASAL_GANGLIA_CALCIFICATION 2/19 34/11008 0.00153217041324938 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000155016 2
HP_ECTOPIC_CALCIFICATION HP_ECTOPIC_CALCIFICATION 3/19 145/11008 0.00185827108569948 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000155016/ENSG00000012061 3
GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS 2/19 40/11008 0.0021171902464989 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000129465 2
HP_CEREBRAL_HEMORRHAGE HP_CEREBRAL_HEMORRHAGE 2/19 45/11008 0.00267342995832099 0.224724524138418 0.18751346979298 ENSG00000244682/ENSG00000100311 2
GOBP_FILOPODIUM_ASSEMBLY GOBP_FILOPODIUM_ASSEMBLY 2/19 47/11008 0.00291317679061484 0.224724524138418 0.18751346979298 ENSG00000006740/ENSG00000146192 2
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY 4/19 368/11008 0.00319675375357158 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000146192/ENSG00000129465/ENSG00000166167 4
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS 2/19 50/11008 0.00329108232356244 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000130958 2
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS 2/19 51/11008 0.00342189544343451 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000130958 2
HP_POSTURAL_INSTABILITY HP_POSTURAL_INSTABILITY 2/19 52/11008 0.00355511780740536 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000012061 2
GOBP_EPITHELIAL_CELL_PROLIFERATION GOBP_EPITHELIAL_CELL_PROLIFERATION 3/19 207/11008 0.00508478632712495 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000232040/ENSG00000166167 3
GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS 2/19 63/11008 0.00517735259713551 0.224724524138418 0.18751346979298 ENSG00000131373/ENSG00000155016 2
GOBP_CELL_PROJECTION_ASSEMBLY GOBP_CELL_PROJECTION_ASSEMBLY 4/19 435/11008 0.00581149576832818 0.224724524138418 0.18751346979298 ENSG00000167705/ENSG00000006740/ENSG00000146192/ENSG00000143126 4
GOBP_POLYSACCHARIDE_METABOLIC_PROCESS GOBP_POLYSACCHARIDE_METABOLIC_PROCESS 2/19 67/11008 0.00583729278921939 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000196182 2
GOBP_AMINOGLYCAN_METABOLIC_PROCESS GOBP_AMINOGLYCAN_METABOLIC_PROCESS 2/19 72/11008 0.00671360488458099 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000130958 2
GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY GOBP_POSITIVE_REGULATION_OF_MAP_KINASE_ACTIVITY 2/19 74/11008 0.00707992396096033 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000146192 2
GOCC_RUFFLE_MEMBRANE GOCC_RUFFLE_MEMBRANE 2/19 75/11008 0.0072664381359781 0.224724524138418 0.18751346979298 ENSG00000146192/ENSG00000113645 2
GOBP_MAPK_CASCADE GOBP_MAPK_CASCADE 4/19 479/11008 0.00814948993145796 0.224724524138418 0.18751346979298 ENSG00000100311/ENSG00000146192/ENSG00000196182/ENSG00000113645 4
