	symbol	baseMean	FoldChange	log2FoldChange	lfcSE	stat	pvalue	padj	description
ENSG00000001084	GCLC	930.700540287826	0.835173542119619	-0.259852086113455	0.117495021691601	-2.21160081825008	0.0269942588407561	0.293801921000385	glutamate-cysteine ligase catalytic subunit
ENSG00000002834	LASP1	4487.75119361564	1.11578910269047	0.158064366544163	0.0544232690119368	2.90435266778066	0.00368013364643125	0.145609028145681	LIM and SH3 protein 1
ENSG00000004059	ARF5	631.627960610204	1.08286162551506	0.114848898590044	0.0511335036901385	2.24605963412973	0.024700188435902	0.286914995966547	ADP ribosylation factor 5
ENSG00000004139	SARM1	787.181178891071	1.09070805785824	0.125264997314389	0.0561228845110504	2.23197717661366	0.0256164714209885	0.289858126547796	sterile alpha and TIR motif containing 1
ENSG00000004660	CAMKK1	67.316300057692	1.37920063495995	0.463832343731467	0.169162522459356	2.7419332425887	0.00610787536695124	0.174257693204529	calcium/calmodulin dependent protein kinase kinase 1
ENSG00000004766	VPS50	2850.14403839279	0.915882999897954	-0.126764782862079	0.0502319757656228	-2.52358743469598	0.0116164169019715	0.220825626736449	VPS50 subunit of EARP/GARPII complex
ENSG00000004777	ARHGAP33	317.260004587887	1.258418743133	0.33161206380621	0.105906948058338	3.13116438426254	0.0017411467072955	0.105668875666265	Rho GTPase activating protein 33
ENSG00000004864	SLC25A13	5582.38956323316	0.890676358572069	-0.167026794120511	0.0794514920943917	-2.10224867674072	0.0355314978296958	0.323521402534224	solute carrier family 25 member 13
ENSG00000005020	SKAP2	7198.13577056417	0.912292230928617	-0.132432063721513	0.0636419215661681	-2.08089354410558	0.0374436512070639	0.326950338795279	src kinase associated phosphoprotein 2
ENSG00000005175	RPAP3	1558.22283127696	0.916251531196778	-0.126184390674307	0.051227649711444	-2.46320866534149	0.0137699751098833	0.233331034422334	RNA polymerase II associated protein 3
ENSG00000005194	CIAPIN1	786.994056089382	0.896765689829843	-0.157197013063427	0.0559034159083629	-2.81193931549916	0.00492437929202161	0.159942579435747	cytokine induced apoptosis inhibitor 1
ENSG00000005243	COPZ2	43.0864188406529	1.47984661000759	0.56544764446917	0.243189568215506	2.32513116667936	0.0200649475724132	0.26905752321353	COPI coat complex subunit zeta 2
ENSG00000005302	MSL3	2325.31401515585	1.22574512815956	0.293659027506523	0.132929400333066	2.20913527609946	0.0271652331285244	0.295155489477042	MSL complex subunit 3
ENSG00000005436	GCFC2	1413.75825548109	0.910151260405673	-0.135821764408283	0.0429072942786244	-3.16547027007357	0.00154832483577183	0.10276930831587	GC-rich sequence DNA-binding factor 2
ENSG00000005448	WDR54	320.525379799809	1.35512892712522	0.438430116284507	0.173814786034136	2.52239827397885	0.0116557657047529	0.220836167886196	WD repeat domain 54
ENSG00000005469	CROT	848.679767226889	0.834821529041514	-0.260460288542795	0.0728313736349452	-3.57621002520572	0.000348611611239404	0.0632190556429744	carnitine O-octanoyltransferase
ENSG00000005700	IBTK	4466.2225661998	0.936820935167644	-0.0941547787353997	0.0427811189608139	-2.20084890303226	0.027746722261774	0.297651986065918	inhibitor of Bruton tyrosine kinase
ENSG00000005801	ZNF195	2252.36461999593	0.919799538224943	-0.120608621458222	0.0523872422428336	-2.30225177533031	0.0213209776852872	0.274303540700993	zinc finger protein 195
ENSG00000005961	ITGA2B	7.87832258354857	1.80306125326869	0.850448408576091	0.373699192821948	2.27575661096302	0.0228605809861082	NA	integrin subunit alpha 2b
ENSG00000006327	TNFRSF12A	6.45679954405184	2.29449114845091	1.1981742412193	0.379189615101911	3.15982873343534	0.00157861903989101	NA	TNF receptor superfamily member 12A
ENSG00000006432	MAP3K9	1642.84665171032	1.11468453862964	0.156635477904863	0.0657428753412688	2.38254680970027	0.0171933459456748	0.255636927149559	mitogen-activated protein kinase kinase kinase 9
ENSG00000006530	AGK	3061.26715565883	0.937993804308221	-0.0923497014892739	0.0457228208649612	-2.01977261556153	0.0434069788931485	0.347679136420655	acylglycerol kinase
ENSG00000006659	LGALS14	72.2431145510252	0.595149867488532	-0.74867508889133	0.352666844582921	-2.12289615650358	0.0337625546096419	0.317472218746096	galectin 14
ENSG00000006695	COX10	3123.54614335676	0.911062861765748	-0.134377493956749	0.0592726581564999	-2.26710760300215	0.0233836532414731	0.282091535535551	cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10
ENSG00000006704	GTF2IRD1	270.291852861864	1.44563079813411	0.531699147232447	0.254912637266318	2.08580929111396	0.036995901470566	0.325826863941661	GTF2I repeat domain containing 1
ENSG00000006740	ARHGAP44	388.763464967036	0.544706234679749	-0.876449714600729	0.312977831546961	-2.80035716992697	0.00510460916488154	0.162335096886515	Rho GTPase activating protein 44
ENSG00000006744	ELAC2	1842.48615679576	0.877233184530847	-0.188967706664558	0.0766190975528552	-2.46632644732209	0.0136506862108591	0.23280325478029	elaC ribonuclease Z 2
ENSG00000007202	KIAA0100	6169.32881686605	0.910820021602077	-0.134762089810994	0.0584407954203904	-2.30595919924756	0.0211129122507579	0.273849575466364	KIAA0100
ENSG00000007312	CD79B	186.252777766159	1.14696392519975	0.197820015805459	0.0889361839934432	2.22429169909114	0.026128824840295	0.290521345544128	CD79b molecule
ENSG00000007516	BAIAP3	9.38486898097471	1.59098420340367	0.669919511480199	0.312729712533957	2.14216777181816	0.032179983893158	NA	BAI1 associated protein 3
ENSG00000007944	MYLIP	1572.26859073464	1.16765186208226	0.223610195695235	0.100884993348308	2.21648620150288	0.0266582218611293	0.292727551948862	myosin regulatory light chain interacting protein
ENSG00000008256	CYTH3	805.914821630043	0.563508060533972	-0.827491847738815	0.370649109266684	-2.23254778455013	0.0255787807293451	0.289858126547796	cytohesin 3
ENSG00000008394	MGST1	925.390977185233	1.31172758412036	0.391468136232132	0.192513855870048	2.03345434261305	0.0420066418743373	0.343070964007927	microsomal glutathione S-transferase 1
ENSG00000008516	MMP25	7.78671806428382	1.64740816034233	0.720198040157868	0.344504033238345	2.09053587381254	0.0365696893512996	NA	matrix metallopeptidase 25
ENSG00000008710	PKD1	1176.27769020572	1.13081587358075	0.177364039940279	0.0612744583617122	2.89458356193494	0.0037966184294218	0.146567828679591	polycystin 1, transient receptor potential channel interacting
ENSG00000009335	UBE3C	7751.2975234462	0.944691411356281	-0.0820849528673577	0.0385140735496401	-2.13129760895221	0.0330646319322807	0.314992831910214	ubiquitin protein ligase E3C
ENSG00000009844	VTA1	2553.23899578982	0.943668992222542	-0.0836471961290741	0.0415423321124734	-2.01354117295592	0.0440577280431732	0.347927650918803	vesicle trafficking 1
ENSG00000010256	UQCRC1	1381.76646864081	1.07051434883263	0.0983041332768545	0.0457136416116023	2.1504332144894	0.0315209634346262	0.310710159590748	ubiquinol-cytochrome c reductase core protein 1
ENSG00000010539	ZNF200	334.907395712263	0.899936196537005	-0.152105373670171	0.0729149458107663	-2.08606578498906	0.0369726644728912	0.325826863941661	zinc finger protein 200
ENSG00000010704	HFE	89.5849076186641	1.25770571241499	0.330794388904514	0.159497268421695	2.07398153070513	0.0380810261795188	0.327363584533076	homeostatic iron regulator
ENSG00000010818	HIVEP2	15832.9818815726	0.86459129354832	-0.209909786548417	0.101716326585522	-2.06367840438995	0.0390482182413013	0.330272908645054	HIVEP zinc finger 2
ENSG00000011258	MBTD1	2622.41531046727	0.943336381228466	-0.0841557863465894	0.0417330333229517	-2.0165269486967	0.043744903170193	0.347843654113142	mbt domain containing 1
ENSG00000011260	UTP18	1510.0895417725	0.919066258305524	-0.121759221313197	0.0471817878386318	-2.58064026165414	0.00986172861251425	0.209463143900924	UTP18 small subunit processome component
ENSG00000011454	RABGAP1	6892.1073359643	0.945661370694285	-0.080604429588426	0.0354029191184927	-2.27677354284388	0.0227997522147175	0.279124471628739	RAB GTPase activating protein 1
ENSG00000012124	CD22	6470.41547914875	1.19714840328412	0.259602005590622	0.106317569000831	2.44176017219311	0.0146158525894664	0.240936994730185	CD22 molecule
ENSG00000012211	PRICKLE3	380.775327304065	1.12754910402447	0.173190263272239	0.0795556423486636	2.17697020801126	0.0294827903480613	0.302228361623162	prickle planar cell polarity protein 3
ENSG00000012660	ELOVL5	6177.43188225575	0.919718920655686	-0.120735074733957	0.0500214515367435	-2.41366595779953	0.015792933860655	0.248734484737499	ELOVL fatty acid elongase 5
ENSG00000013503	POLR3B	1479.03395629974	0.813952560335078	-0.296983382660903	0.132610425697183	-2.23951760277934	0.0251222572809935	0.287734845985996	RNA polymerase III subunit B
ENSG00000014641	MDH1	2771.32792223421	0.929809012641966	-0.104993684914704	0.0483253214830789	-2.17264327877193	0.0298071758918068	0.303465803297905	malate dehydrogenase 1
ENSG00000015153	YAF2	3930.69138944993	0.948061593198404	-0.0769473044185593	0.0391084790833612	-1.96753507735607	0.0491215560913254	0.362357706508068	YY1 associated factor 2
ENSG00000015532	XYLT2	502.505248121412	1.15985253282926	0.213941388387159	0.0861728904754956	2.48269945694808	0.0130391047264319	0.231390662589341	xylosyltransferase 2
ENSG00000015676	NUDCD3	5654.63859069141	1.04250688427822	0.0600569106543542	0.028234619033494	2.12706644219673	0.0334145630388763	0.315563570223932	NudC domain containing 3
ENSG00000018236	CNTN1	4.72342383979557	0.518664699787282	-0.947125911372336	0.459729653293441	-2.06018016150852	0.0393813207274796	NA	contactin 1
ENSG00000018510	AGPS	5067.70314435205	0.922753868056634	-0.11598221482566	0.0541248762720121	-2.14286337104541	0.032124070949455	0.312481464095178	alkylglycerone phosphate synthase
ENSG00000018699	TTC27	2888.98923828996	0.917749426133545	-0.123827787675912	0.0579734341882434	-2.13594018380618	0.0326842897007143	0.314002846288696	tetratricopeptide repeat domain 27
ENSG00000018869	ZNF582	43.9073809058541	0.586044363325865	-0.77091821466361	0.265154780368913	-2.90742717740567	0.0036441518140794	0.145503617297064	zinc finger protein 582
ENSG00000019485	PRDM11	209.781293382123	0.711216847446273	-0.491638595467559	0.203125423071117	-2.42036958266632	0.0155047398369315	0.246913270272778	PR/SET domain 11
ENSG00000019991	HGF	91.9873205331843	0.444071372070393	-1.17113652674229	0.57602535507619	-2.03313363972907	0.042039023188496	0.343070964007927	hepatocyte growth factor
ENSG00000021776	AQR	4072.88278546527	0.938122608331701	-0.0921516061845684	0.0452602282822081	-2.03603935910313	0.0417464031671962	0.34171034897684	aquarius intron-binding spliceosomal factor
ENSG00000022277	RTF2	1803.8454607317	0.938027248586963	-0.0922982629459621	0.0378437622157598	-2.43892936489081	0.0147308473104716	0.241025775596577	replication termination factor 2
ENSG00000023228	NDUFS1	2961.7158150779	0.920168218628331	-0.120030466330472	0.0581304250256273	-2.06484756093828	0.0389374260970812	0.329701952049382	NADH:ubiquinone oxidoreductase core subunit S1
ENSG00000023318	ERP44	7534.16432303503	0.919535280929109	-0.121023165551957	0.0615586837973413	-1.96598039604583	0.0493008751728335	0.362627655957708	endoplasmic reticulum protein 44
ENSG00000023734	STRAP	2314.48072245477	0.876723138182234	-0.189806771296876	0.0662384555363256	-2.86550720061378	0.00416341804259312	0.150776581039623	serine/threonine kinase receptor associated protein
ENSG00000026025	VIM	3939.81194232823	1.4521871708563	0.538227412743766	0.235891464615906	2.28167396230356	0.0225085964284342	0.278631683772863	vimentin
ENSG00000026297	RNASET2	484.521143360733	1.33340089677259	0.415110602505771	0.138889810747864	2.98877650038236	0.00280096937479186	0.135522012982824	ribonuclease T2
ENSG00000028839	TBPL1	588.978297857797	0.929109013411238	-0.106080215307521	0.0533906079006639	-1.98687034065784	0.0469367671451877	0.356424613121956	TATA-box binding protein like 1
ENSG00000031698	SARS1	2315.17915898082	1.10849720417327	0.148605131476803	0.071618332117778	2.0749594005124	0.0379902976856947	0.327363584533076	seryl-tRNA synthetase 1
ENSG00000035141	FAM136A	857.965058040466	0.838776575210876	-0.253641523508887	0.085138741188933	-2.97915519969958	0.00289044334765089	0.136739514021013	family with sequence similarity 136 member A
ENSG00000035687	ADSS2	2654.07337146334	0.910442611038504	-0.13536001385169	0.064880139182323	-2.08630893147915	0.0369506481547886	0.325826863941661	adenylosuccinate synthase 2
